(0.44444, 0.0, 0.83333),
(0.44444, 0.0, 0.27778),
(0.55556, 0.0, 0.27778),
(0.55556, 0.0, 0.72222),
(0.44444, 0.0, 0.72222),
(0.44444, 0.0, 0.38889),
(0.55556, 0.0, 0.38889),
(0.55556, 0.0, 0.61111),
(0.44444, 0.0, 0.61111),
(0.44444, 0.0, 0.5),
(0.55556, 0.0, 0.5),
(0.94444, 0.37819, 0.0),
(0.05556, 0.62181, 0.0),
(0.05556, 0.37819, 0.0),
(0.94444, 0.62181, 0.0),
(0.94444, 0.37819, 0.11111),
(0.05556, 0.62181, 0.11111),
(0.05556, 0.37819, 0.88889),
(0.94444, 0.62181, 0.88889),
(0.05556, 0.62181, 0.88889),
(0.94444, 0.37819, 0.88889),
(0.94444, 0.62181, 0.11111),
(0.05556, 0.37819, 0.11111),
(0.94444, 0.37819, 0.22222),
(0.05556, 0.62181, 0.22222),
(0.05556, 0.37819, 0.77778),
(0.94444, 0.62181, 0.77778),
(0.05556, 0.62181, 0.77778),
(0.94444, 0.37819, 0.77778),
(0.94444, 0.62181, 0.22222),
(0.05556, 0.37819, 0.22222),
(0.94444, 0.37819, 0.33333),
(0.05556, 0.62181, 0.33333),
(0.05556, 0.37819, 0.66667),
(0.94444, 0.62181, 0.66667),
(0.05556, 0.62181, 0.66667),
(0.94444, 0.37819, 0.66667),
(0.94444, 0.62181, 0.33333),
(0.05556, 0.37819, 0.33333),
(0.94444, 0.37819, 0.44444),
(0.05556, 0.62181, 0.44444),
(0.05556, 0.37819, 0.55556),
(0.94444, 0.62181, 0.55556),
(0.05556, 0.62181, 0.55556),
(0.94444, 0.37819, 0.55556),
(0.94444, 0.62181, 0.44444),
(0.05556, 0.37819, 0.44444),
(0.16667, 0.37819, 0.0),
(0.83333, 0.62181, 0.0),
(0.83333, 0.37819, 0.0),
(0.16667, 0.62181, 0.0),
(0.16667, 0.37819, 0.11111),
(0.83333, 0.62181, 0.11111),
(0.83333, 0.37819, 0.88889),
(0.16667, 0.62181, 0.88889),
(0.83333, 0.62181, 0.88889),
(0.16667, 0.37819, 0.88889),
(0.16667, 0.62181, 0.11111),
(0.83333, 0.37819, 0.11111),
(0.16667, 0.37819, 0.22222),
(0.83333, 0.62181, 0.22222),
(0.83333, 0.37819, 0.77778),
(0.16667, 0.62181, 0.77778),
(0.83333, 0.62181, 0.77778),
(0.16667, 0.37819, 0.77778),
(0.16667, 0.62181, 0.22222),
(0.83333, 0.37819, 0.22222),
(0.16667, 0.37819, 0.33333),
(0.83333, 0.62181, 0.33333),
(0.83333, 0.37819, 0.66667),
(0.16667, 0.62181, 0.66667),
(0.83333, 0.62181, 0.66667),
(0.16667, 0.37819, 0.66667),
(0.16667, 0.62181, 0.33333),
(0.83333, 0.37819, 0.33333),
(0.16667, 0.37819, 0.44444),
(0.83333, 0.62181, 0.44444),
(0.83333, 0.37819, 0.55556),
(0.16667, 0.62181, 0.55556),
(0.83333, 0.62181, 0.55556),
(0.16667, 0.37819, 0.55556),
(0.16667, 0.62181, 0.44444),
(0.83333, 0.37819, 0.44444),
(0.27778, 0.37819, 0.0),
(0.72222, 0.62181, 0.0),
(0.72222, 0.37819, 0.0),
(0.27778, 0.62181, 0.0),
(0.27778, 0.37819, 0.11111),
(0.72222, 0.62181, 0.11111),
(0.72222, 0.37819, 0.88889),
(0.27778, 0.62181, 0.88889),
(0.72222, 0.62181, 0.88889),
(0.27778, 0.37819, 0.88889),
