h,k,l,h_cor,k_cor,l_cor,h_err,k_err,l_err,volume,volume_err,fwhm volume,fwhm err,intensity_exp,intensity_exp_err,intensity_sim,combined_intensities
-4.5,-2.5,0.0,-4.563838383838384,-2.5703030303030303,-0.0703030303030303,0.48,0.3700000000000001,0.0700000000000002,260.58295175911974,8.880304308931912,510.8313293457031,0.6085330338062414,0.2462144217084476,0.0100209479284716,0.005481264,0
4.5,-2.5,0.0,4.42969696969697,-2.5703030303030303,-0.0686868686868686,0.9700000000000002,1.105,0.0150000000000001,231.3297514846404,11.140584599015952,352.8873596191406,0.2099545496852964,0.2462144217084476,0.0100209479284716,0.0125524495,0
-0.5,-3.5,0.0,-0.5670707070707071,-3.5703030303030303,-0.0703030303030303,0.4099999999999997,0.3349999999999999,0.0049999999999998,213.20054252642225,8.151810585620211,309.121826171875,0.1058033107822213,0.1963948498931801,0.0070659407313334,0.00020983843,0
0.5,-3.5,0.0,0.4329292929292929,-3.5686868686868687,-0.0686868686868686,0.5449999999999999,0.4900000000000002,0.0049999999999998,179.177454033444,5.965258520210941,260.54229736328125,0.0401530094706812,0.1963948498931801,0.0070659407313334,0.021136621,0
-1.5,-3.5,0.0,-1.5654545454545454,-3.5703030303030303,-0.0703030303030303,0.08,0.1300000000000003,0.0099999999999997,374.1320617919902,10.25657251260941,514.8086547851562,0.0283218222180878,0.3282603128168797,0.0099335351867704,0.022813758,0
1.5,-3.5,0.0,1.431313131313131,-3.5703030303030303,-0.0703030303030303,0.4950000000000001,0.3200000000000003,0.0849999999999999,281.7004305735591,9.589674155579182,369.233154296875,0.5208945080338914,0.3282603128168797,0.0099335351867704,0.04398926,0
-2.5,-3.5,0.0,-2.565454545454545,-3.5703030303030303,-0.0703030303030303,0.4300000000000001,0.3700000000000001,0.0199999999999995,235.0938778503855,7.849503006223536,399.6004028320313,0.0523372571872036,0.1990026210521345,0.0123292325215488,0.034309372,0
2.5,-3.5,0.0,2.431313131313132,-3.571919191919192,-0.0719191919191919,0.3399999999999998,0.1,0.04,162.4941943473789,16.783116222627708,170.2356719970703,0.2787657604111113,0.1990026210521345,0.0123292325215488,0.03374033,0
-3.5,-3.5,0.0,-3.563838383838384,-3.5703030303030303,-0.0703030303030303,0.1200000000000001,0.0550000000000001,0.0300000000000002,425.4427535091485,14.221876617308515,824.7220458984375,0.2296394539176214,0.3376882383829778,0.0142610137314196,0.021610029,0
3.5,-3.5,0.0,3.4296969696969697,-3.5703030303030303,-0.0703030303030303,0.5250000000000004,0.56,0.0100000000000002,249.22582619450148,14.270255431422504,361.8345336914063,0.1860145435702566,0.3376882383829778,0.0142610137314196,0.004643367,0
