h,k,l,intensity_exp,intensity_exp_err,intensity_sim
2.0,2.88888888888889,0.0,0.0283783663750777,0.0,0.06800009
2.0,3.33333333333333,0.0,0.0342463909794185,0.0,0.022488687
2.0,3.66666666666667,0.0,0.0866953974648034,0.0,0.08700499
2.0,3.88888888888889,0.0,0.131399358066191,0.0,0.059369817
2.0,4.11111111111111,0.0,0.143631055626097,0.0,0.050652698
2.11111111111111,2.11111111111111,0.0,0.0768258054078471,0.0,0.075580366
2.11111111111111,3.11111111111111,0.0,0.0313046234871953,0.0,0.0062074685
2.11111111111111,4.22222222222222,0.0,0.0390224331327655,0.0,0.005111862
2.22222222222222,0.0,0.0,0.0803724138122823,0.0,0.18274342
2.22222222222222,0.444444444444444,0.0,0.0315017258031351,0.0,0.045614023
2.22222222222222,1.11111111111111,0.0,0.0219945275025999,0.0,0.072489865
2.22222222222222,2.22222222222222,0.0,0.0267925604134636,0.0,0.15511256
2.33333333333333,0.0,0.0,0.563115710542479,0.0,0.57829344
2.33333333333333,0.111111111111111,0.0,0.0320772579010355,0.0,0.11275338
2.33333333333333,1.0,0.0,0.0251026758377083,0.0,0.12643728
2.33333333333333,2.0,0.0,0.0957258446302536,0.0,0.11637622
2.33333333333333,2.33333333333333,0.0,0.02147807377454,0.0,0.005913839
2.33333333333333,3.0,0.0,0.0217289675993679,0.0,0.03948195
2.33333333333333,4.0,0.0,0.0477678138107967,0.0,0.01374668
2.44444444444444,0.0,0.0,0.0454133018664562,0.0,0.2781587
2.44444444444444,0.222222222222222,0.0,0.0184242207771674,0.0,0.031791218
2.44444444444444,1.22222222222222,0.0,0.047364911673555,0.0,0.042906523
2.55555555555556,0.0,0.0,0.0351273569713232,0.0,0.08288836
2.66666666666667,0.0,0.0,0.116864669454227,0.0,0.21586342
2.66666666666667,0.444444444444444,0.0,0.0207896270481835,0.0,0.005494638
2.66666666666667,0.777777777777778,0.0,0.0329836728264012,0.0,0.044811975
2.66666666666667,0.888888888888889,0.0,0.880174198974986,0.0,0.65537155
2.66666666666667,1.0,0.0,0.440039282513942,0.0,0.53351945
2.66666666666667,2.66666666666667,0.0,0.14792714486443,0.0,0.0020187537
2.66666666666667,3.0,0.0,0.0197433173266766,0.0,0.043772243
2.66666666666667,4.44444444444444,0.0,0.0800354765703067,0.0,0.00770522
2.66666666666667,4.55555555555556,0.0,0.0316357461651187,0.0,0.0018319923
2.77777777777778,0.444444444444444,0.0,0.019543764870879,0.0,0.037245616
2.77777777777778,4.66666666666667,0.0,0.0336418736821951,0.0,0.0025149197
2.88888888888889,0.444444444444444,0.0,0.0200483141322105,0.0,0.019772993
2.88888888888889,2.88888888888889,0.0,0.0351240263084698,0.0,0.016806195
2.88888888888889,4.88888888888889,0.0,0.249354702447759,0.0,0.0032973087
3.0,0.111111111111111,0.0,0.393945812521511,0.0,0.36528713
3.0,0.333333333333333,0.0,0.028693987677378,0.0,0.059267167
3.0,0.555555555555556,0.0,0.02204100913564,0.0,0.027580667
3.0,0.666666666666667,0.0,0.0455260311334479,0.0,0.11470696
3.0,0.777777777777778,0.0,0.0305756625099117,0.0,0.028829884
3.0,1.11111111111111,0.0,0.0931861219972462,0.0,0.0890802
3.0,2.88888888888889,0.0,0.0382964208200606,0.0,0.0043173125
3.0,3.11111111111111,0.0,0.0319569983864286,0.0,0.0040235477
3.0,3.33333333333333,0.0,0.0275024136426766,0.0,0.023013597
3.11111111111111,0.777777777777778,0.0,0.033520365192374,0.0,0.05129534
3.11111111111111,2.11111111111111,0.0,0.0228697808851974,0.0,0.0135552315
3.11111111111111,3.11111111111111,0.0,0.0347070986626281,0.0,0.012188827
3.22222222222222,0.0,0.0,0.0382024797148951,0.0,0.09455966
3.33333333333333,0.0,0.0,0.231366069858683,0.0,0.15033986
3.33333333333333,1.0,0.0,0.559268707991446,0.0,0.386553
3.33333333333333,1.11111111111111,0.0,0.0511836893585567,0.0,0.2708409
3.33333333333333,3.0,0.0,0.024613289055298,0.0,0.03353154
3.55555555555556,0.0,0.0,0.655888733086952,0.0,0.265389
3.55555555555556,0.111111111111111,0.0,0.051327595873397,0.0,0.15538135
3.55555555555556,1.77777777777778,0.0,0.108756056643662,0.0,0.026228217
